,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference
0,2004-01-30 19:01:02,1075507262.0,a,0.407,36.65,0.0,1131.130005,0.0,0.0
1,2004-04-13 04:07:11,1081847231.0,a,0.375,31.87,-13.0422919509,1129.439941,-0.149413771408,-12.8928781795
2,2004-12-13 21:37:34,1102991854.0,a,0.323,23.84,-34.9522510232,1198.680054,5.97190850755,-40.9241595307
3,2005-01-22 05:17:19,1106389039.0,a,0.322,21.8,-40.5184174625,1184.630005,4.72978346994,-45.2482009324
4,2006-01-09 02:35:16,1136792116.0,a,0.0,34.65,-5.45702592087,1290.150024,14.0585094814,-19.5155354023
5,2006-06-21 11:01:16,1150902076.0,a,0.368,32.18,-12.1964529332,1252.199951,10.7034510149,-22.8999039481
6,2006-08-19 10:42:01,1155998521.0,a,0.396,31.8,-13.2332878581,1295.430054,14.5253019789,-27.758589837
7,2007-02-20 17:46:56,1172011616.0,a,0.411,32.48,-11.377899045,1459.680054,29.0461792674,-40.4240783125
8,2007-04-12 05:07:51,1176368871.0,a,0.411,34.62,-5.53888130969,1447.800049,27.9959016736,-33.5347829833
9,2008-01-23 19:28:50,1201134530.0,a,0.645,32.16,-12.2510231924,1338.599976,18.3418325111,-30.5928557035
10,2008-02-14 04:44:34,1202982274.0,a,0.645,32.68,-10.8321964529,1348.859985,19.248890847,-30.0810872999
11,2008-04-26 04:49:23,1209199763.0,a,0.67,31.53,-13.9699863574,1379.930054,21.9957076464,-35.9656940038
12,2008-12-06 19:21:33,1228609293.0,a,0.83,17.26,-52.9058663029,870.73999,-23.0203437137,-29.8855225891
13,2011-08-02 06:45:37,1312281937.0,a,54.36,40.79,11.2960436562,1254.050049,10.867012939,0.42903071723
14,2011-11-08 05:04:16,1320746656.0,a,51.62,37.74,2.97407912688,1275.920044,12.8004772537,-9.82639812684
15,2013-05-14 00:28:58,1368505738.0,a,44.12,43.04,17.4351978172,1650.339966,45.9018820741,-28.4666842569
16,2013-09-06 06:09:52,1378462192.0,a,56.39,47.68,30.0954979536,1655.170044,46.3288955897,-16.2333976361
17,2004-04-13 04:20:10,1081848010.0,aa,0.595,34.26,0.0,1129.439941,0.0,0.0
18,2004-09-09 16:15:45,1094764545.0,aa,0.561,32.89,-3.99883245768,1118.380005,-0.979240736803,-3.01959172087
19,2004-11-24 10:37:20,1101310640.0,aa,0.53,33.58,-1.9848219498,1181.76001,4.63239054161,-6.6172124914
20,2004-12-05 00:36:42,1102225002.0,aa,0.53,32.86,-4.08639813193,1190.329956,5.39116891387,-9.4775670458
21,2005-01-13 07:18:32,1105618712.0,aa,0.457,29.43,-14.0980735552,1177.449951,4.25078025464,-18.3488538098
22,2005-02-07 03:48:37,1107766117.0,aa,0.457,29.37,-14.2732049037,1201.719971,6.39963466636,-20.67283957
23,2005-05-22 08:48:23,1116769703.0,aa,0.543,27.45,-19.877408056,1191.079956,5.45757350722,-25.3349815633
24,2006-06-20 04:32:21,1150792341.0,aa,0.526,29.1,-15.061295972,1240.119995,9.79955197104,-24.860847943
25,2007-01-25 19:09:37,1169770177.0,aa,0.494,31.46,-8.17279626386,1423.900024,26.0713360942,-34.244132358
26,2007-02-23 09:03:42,1172239422.0,aa,0.494,34.75,1.43023934618,1451.189941,28.4875705489,-27.0573312027
27,2007-05-16 21:12:47,1179364367.0,aa,0.494,39.04,13.9521307647,1514.140015,34.0611359697,-20.109005205
28,2007-06-22 06:39:12,1182508752.0,aa,0.503,40.34,17.7466433158,1502.560059,33.035852944,-15.2892096282
29,2007-10-11 20:57:59,1192150679.0,aa,0.47,38.08,11.1500291886,1554.410034,37.6266216178,-26.4765924292
30,2008-01-23 16:05:53,1201122353.0,aa,0.499,28.04,-18.155283129,1338.599976,18.5189160935,-36.6741992225
31,2008-10-28 00:52:22,1225169542.0,aa,0.672,9.04,-73.613543491,940.51001,-16.727753654,-56.885789837
32,2008-12-05 01:03:15,1228456995.0,aa,0.672,8.06,-76.4740221833,876.070007,-22.4332365806,-54.0407856027
33,2008-12-06 09:33:46,1228574026.0,aa,0.672,8.15,-76.2113251605,870.73999,-22.9051533958,-53.3061717647
34,2008-12-18 10:54:07,1229615647.0,aa,0.672,10.35,-69.7898423818,885.280029,-21.6177862263,-48.1720561555
35,2011-09-03 09:21:23,1315056083.0,aa,48.26,12.04,-64.8569760654,1218.890015,7.91986105262,-72.776837118
36,2011-11-02 22:04:47,1320285887.0,aa,50.93,10.7,-68.7682428488,1237.900024,9.60299694236,-78.3712397912
37,2011-11-05 21:29:24,1320542964.0,aa,50.93,10.93,-68.0969060128,1237.900024,9.60299694236,-77.6999029552
38,2012-01-02 19:42:06,1325551326.0,aa,50.93,8.65,-74.7518972563,1257.599976,11.3472200112,-86.0991172675
39,2012-03-09 07:34:06,1331296446.0,aa,54.5,9.77,-71.4827787507,1370.869995,21.3760860791,-92.8588648298
40,2012-03-19 02:24:48,1332138288.0,aa,54.5,10.54,-69.2352597782,1409.75,24.8185006413,-94.0537604195
41,2012-05-19 11:51:52,1337442712.0,aa,55.28,8.43,-75.3940455342,1324.800049,17.2970780391,-92.6911235733
42,2012-07-29 16:51:57,1343595117.0,aa,56.42,8.45,-75.335668418,1360.02002,20.4154351754,-95.7511035934
43,2012-11-27 11:38:14,1354034294.0,aa,56.51,8.31,-75.7443082312,1398.939941,23.8613838786,-99.6056921098
44,2013-01-22 17:52:37,1358895157.0,aa,53.49,9.16,-73.2632807939,1492.560059,32.150458366,-105.41373916
45,2013-04-23 20:02:57,1366761777.0,aa,53.21,8.12,-76.2988908348,1578.780029,39.7843277618,-116.083218597
46,2013-04-26 20:55:15,1367024115.0,aa,53.21,8.27,-75.8610624635,1582.23999,40.0906708328,-115.951733296
47,2013-09-01 04:25:11,1378023911.0,aa,52.71,7.7,-77.5248102744,1638.170044,45.0426874889,-122.567497763
48,2003-12-07 10:36:10,1070811370.0,aapl,0.072,20.85,0.0,1069.719971,0.0,0.0
49,2004-02-03 07:33:34,1075811614.0,aapl,0.07,22.32,7.05035971223,1136.030029,6.19882397241,0.851535739821
50,2004-06-03 01:20:38,1086243638.0,aapl,0.0,28.92,38.7050359712,1116.640015,4.38619875033,34.3188372209
51,2004-08-10 02:02:44,1092121364.0,aapl,0.0,30.3,45.3237410072,1079.040039,0.871262410039,44.4524785972
52,2004-10-12 05:40:57,1097577657.0,aapl,0.0,38.59,85.0839328537,1121.839966,4.87230269724,80.2116301565
53,2004-12-04 14:16:51,1102187811.0,aapl,0.0,62.68,200.623501199,1191.369995,11.3721373161,189.251363883
54,2005-01-26 15:16:47,1106770607.0,aapl,0.0,71.94,245.035971223,1174.069946,9.75488705726,235.281084166
55,2005-02-04 03:07:08,1107504428.0,aapl,0.0,77.81,273.189448441,1203.030029,12.4621453851,260.727303056
56,2005-03-01 10:36:03,1109691363.0,aapl,0.0,44.86,115.1558753,1210.410034,13.1520460321,102.003829268
57,2005-12-17 11:55:53,1134838553.0,aapl,0.0,71.11,241.055155875,1272.73999,18.9788004809,222.076355394
58,2006-01-25 09:43:52,1138200232.0,aapl,0.0,76.04,264.700239808,1264.680054,18.225338246,246.474901562
59,2013-08-11 02:30:32,1376202632.0,aapl,13.75,454.45,2079.61630695,1697.47998,58.6845180064,2020.93178895
60,2013-06-19 09:57:38,1371650258.0,abbv,512.61,43.54,0.0,1628.930054,0.0,0.0
61,2003-10-26 16:06:32,1067202392.0,abc,0.592,57.01,0.0,1033.77002,0.0,0.0
62,2004-01-28 07:37:34,1075293454.0,abc,0.429,56.36,-1.14015085073,1128.47998,9.16160830433,-10.3017591551
63,2004-05-16 19:24:15,1084753455.0,abc,0.412,58.97,3.4379933345,1096.439941,6.06226914957,-2.62427581507
64,2004-10-20 01:31:26,1098253886.0,abc,0.331,52.1,-8.61252411858,1103.660034,6.76069267321,-15.3732167918
65,2005-01-08 07:45:42,1105188342.0,abc,0.332,57.9,1.56112962638,1183.73999,14.5070922061,-12.9459625797
66,2005-03-30 19:52:42,1112230362.0,abc,0.291,55.44,-2.75390282407,1181.410034,14.2817078406,-17.0356106647
67,2005-05-26 01:50:44,1117090244.0,abc,0.23,65.93,15.6463778285,1197.619995,15.8497510887,-0.203373260287
68,2005-12-04 08:46:13,1133703973.0,abc,0.223,79.46,39.3790563059,1264.670044,22.3357245357,17.0433317702
69,2007-02-20 06:12:02,1171969922.0,abc,0.308,54.9,-3.70110506929,1459.680054,41.1996890759,-44.9007941452
70,2007-04-05 16:11:07,1175803867.0,abc,0.308,53.94,-5.3850201719,1443.76001,39.65969046,-45.0447106319
71,2008-01-23 20:34:05,1201138445.0,abc,0.396,45.55,-20.1017365374,1338.599976,29.4872118656,-49.588948403
72,2011-07-08 00:04:15,1310097855.0,abc,42.86,43.05,-24.4869321172,1343.800049,29.9902321601,-54.4771642773
73,2012-02-28 18:01:38,1330470098.0,abc,66.41,37.75,-33.7835467462,1372.180054,32.7355240965,-66.5190708427
74,2013-04-25 01:02:00,1366866120.0,abc,59.73,55.82,-2.08735309595,1585.160034,53.3377833882,-55.4251364842
75,2004-09-20 13:31:02,1095705062.0,abt,0.543,42.92,0.0,1122.199951,0.0,0.0
76,2004-10-23 22:48:08,1098589688.0,abt,0.543,40.86,-4.79962721342,1103.660034,-1.65210459896,-3.14752261446
77,2005-01-25 12:44:11,1106675051.0,abt,0.508,45.93,7.01304753029,1168.410034,4.11781188894,2.89523564135
78,2005-02-28 19:21:54,1109636514.0,abt,0.508,45.61,6.26747437092,1203.599976,7.25361152685,-0.986137155924
79,2006-06-17 18:01:01,1150581661.0,abt,0.436,42.78,-0.326188257223,1230.040039,9.60970350283,-9.93589176005
80,2006-07-18 12:32:14,1153240334.0,abt,0.436,44.48,3.63466915191,1236.859985,10.217433524,-6.58276437211
81,2007-01-13 21:19:42,1168741182.0,abt,0.604,50.45,17.5442684063,1414.849976,26.0782425395,-8.53397413317
82,2007-03-23 02:47:40,1174632460.0,abt,0.883,54.5,26.9804287046,1436.109985,27.9727363845,-0.992307679914
83,2007-04-10 20:13:09,1176250389.0,abt,0.883,57.11,33.0615097856,1448.390015,29.0670182002,3.99449158543
84,2007-06-03 02:36:35,1180852595.0,abt,0.871,56.3,31.174277726,1530.619995,36.3945875809,-5.22030985494
85,2008-01-23 23:41:45,1201149705.0,abt,0.784,57.97,35.0652376514,1338.599976,19.2835532391,15.7816844124
86,2008-04-28 03:46:55,1209368815.0,abt,0.687,51.28,19.4780987884,1396.369995,24.4314788782,-4.95338008978
87,2008-10-23 21:57:42,1224813462.0,abt,0.732,55.02,28.1919850885,908.109985,-19.0777023123,47.2696874008
88,2008-12-25 05:30:56,1230201056.0,abt,0.546,52.65,22.670083877,871.630005,-22.3284581127,44.9985419897
89,2011-08-05 04:11:33,1312531893.0,abt,76.17,48.77,13.6300093197,1199.380005,6.8775670442,6.75244227546
90,2011-09-02 09:24:27,1314969867.0,abt,68.83,51.94,21.0158434296,1173.969971,4.61326165216,16.4025817775
91,2011-11-02 06:21:21,1320229281.0,abt,68.83,52.76,22.9263746505,1237.900024,10.3101121059,12.6162625447
92,2012-01-01 23:13:40,1325477620.0,abt,67.73,56.23,31.0111835974,1263.02002,12.5485720147,18.4626115827
93,2012-03-02 20:56:30,1330739790.0,abt,62.85,57.39,33.7138863001,1369.630005,22.0486602035,11.6652260966
94,2012-03-30 05:44:15,1333100655.0,abt,62.85,60.98,42.0782851817,1408.469971,25.5097159597,16.568569222
95,2013-05-08 18:10:02,1368051002.0,abt,76.36,36.06,-15.9832246039,1632.689941,45.4901098102,-61.4733344141
96,2013-08-18 07:12:45,1376824365.0,abt,35.38,34.97,-18.522833178,1661.319946,48.0413490055,-66.5641821836
97,2004-08-16 22:53:27,1092714807.0,ace,0.26,39.1,0.0,1079.339966,0.0,0.0
98,2004-10-10 11:27:42,1097425662.0,ace,0.26,41.04,4.96163682864,1130.650024,4.7538365683,0.207800260343
99,2005-01-13 13:27:29,1105640849.0,ace,0.21,42.76,9.36061381074,1177.449951,9.08981304228,0.270800768462
100,2007-02-20 18:32:05,1172014325.0,ace,0.171,58.6,49.8721227621,1459.680054,35.2382103861,14.6339123761
101,2007-04-05 15:54:06,1175802846.0,ace,0.171,57.24,46.3938618926,1443.76001,33.7632308151,12.6306310775
102,2008-01-23 21:48:58,1201142938.0,ace,0.154,59.98,53.4015345269,1338.599976,24.020236271,29.3812982559
103,2010-12-07 07:29:30,1291724970.0,ace,23.09,59.06,51.0485933504,1223.75,13.3794762122,37.6691171382
104,2011-08-11 20:49:00,1313110140.0,ace,27.7,63.42,62.199488491,1172.640015,8.64417625021,53.5553122408
105,2013-04-23 04:24:03,1366705443.0,ace,24.94,89.27,128.31202046,1578.780029,46.2727295137,82.0392909467
106,2013-05-16 15:08:57,1368731337.0,ace,27.94,92.58,136.777493606,1650.469971,52.9147463256,83.8627472805
107,2003-12-15 23:12:24,1071547944.0,aci,1.074,30.78,0.0,1068.040039,0.0,0.0
108,2005-01-24 04:33:07,1106559187.0,aci,1.18,34.52,12.1507472385,1163.75,8.96127087985,3.18947635862
109,2005-02-05 03:36:51,1107592611.0,aci,1.18,38.4,24.7563352827,1193.189941,11.7177163243,13.0386189583
110,2005-03-30 06:50:28,1112183428.0,aci,0.936,41.15,33.6907082521,1181.410034,10.6147701266,23.0759381255
111,2006-05-24 04:17:01,1148458621.0,aci,0.854,46.39,50.7147498376,1258.569946,17.8392101459,32.8755396916
112,2007-03-11 21:41:07,1173663667.0,aci,0.86,30.08,-2.27420402859,1401.890015,31.2581891885,-33.5323932171
113,2007-04-07 18:52:27,1175986347.0,aci,0.86,33.93,10.2339181287,1439.369995,34.7674190518,-24.5335009231
114,2008-03-02 17:50:27,1204498227.0,aci,0.851,51.09,65.9844054581,1367.680054,28.0551294014,37.9292760567
115,2008-06-05 02:23:56,1212647036.0,aci,0.899,67.52,119.363222872,1404.050049,31.4604319811,87.9027908909
